Order ID,Customer_Name,Category,Sub_Category,Sales,Quantity,Profit,City,State,Total_Amount,Order_Category
CA-2016-152156,Claire Gute,Furniture,Chairs,731.94,3,219.582,Henderson,Kentucky,2195.82,High Value
US-2015-108966,Sean O'Donnell,Furniture,Tables,957.5775,5,-383.031,Fort Lauderdale,Florida,4787.89,High Value
CA-2014-115812,Brosina Hoffman,Technology,Phones,907.152,6,90.7152,Los Angeles,California,5442.91,High Value
CA-2014-115812,Brosina Hoffman,Furniture,Tables,1706.184,9,85.3092,Los Angeles,California,15355.66,High Value
CA-2014-115812,Brosina Hoffman,Technology,Phones,911.424,4,68.3568,Los Angeles,California,3645.7,High Value
CA-2014-105893,Pete Kriz,Office Supplies,Storage,665.88,6,13.3176,Madison,Wisconsin,3995.28,High Value
CA-2015-106320,Emily Burns,Furniture,Tables,1044.63,3,240.2649,Orem,Utah,3133.89,High Value
US-2015-150630,Tracy Blumstein,Furniture,Bookcases,3083.43,7,-1665.0522,Philadelphia,Pennsylvania,21584.01,High Value
CA-2016-117590,Gene Hale,Technology,Phones,1097.544,7,123.4737,Richardson,Texas,7682.81,High Value
CA-2015-117415,Steve Nguyen,Furniture,Bookcases,532.3992,3,-46.9764,Houston,Texas,1597.2,High Value
CA-2016-105816,Janet Molinari,Technology,Phones,1029.95,5,298.6855,New York City,New York,5149.75,High Value
CA-2014-106376,Brendan Sweed,Office Supplies,Art,1113.024,8,111.3024,Gilbert,Arizona,8904.19,High Value
US-2015-134026,Joel Eaton,Furniture,Chairs,831.936,8,-114.3912,Memphis,Tennessee,6655.49,High Value
CA-2015-110457,Dave Kipp,Furniture,Tables,787.53,3,165.3813,Seattle,Washington,2362.59,High Value
US-2014-152030,Alan Dominguez,Furniture,Chairs,600.558,3,-8.5794,Houston,Texas,1801.67,High Value
US-2014-134614,Philip Fox,Furniture,Tables,617.7,6,-407.682,Bloomington,Illinois,3706.2,High Value
CA-2017-155376,Sandra Glassco,Office Supplies,Appliances,839.43,3,218.2518,Independence,Missouri,2518.29,High Value
CA-2015-110744,Helen Andreada,Office Supplies,Storage,671.93,7,20.1579,Pasadena,California,4703.51,High Value
CA-2016-114489,Justin Ellison,Furniture,Chairs,1951.84,8,585.552,Franklin,Wisconsin,15614.72,High Value
CA-2016-114104,Nora Paige,Technology,Phones,944.93,7,236.2325,Edmond,Oklahoma,6614.51,High Value
CA-2014-139892,Becky Martin,Technology,Machines,8159.952,8,-1359.992,San Antonio,Texas,65279.62,High Value
CA-2014-139892,Becky Martin,Furniture,Chairs,1740.06,9,-24.858,San Antonio,Texas,15660.54,High Value
CA-2014-158274,Robert Marley,Technology,Phones,503.96,4,131.0296,Monroe,Louisiana,2015.84,High Value
CA-2015-102281,Mark Packer,Furniture,Bookcases,899.136,4,112.392,New York City,New York,3596.54,High Value
CA-2015-102281,Mark Packer,Furniture,Bookcases,626.352,3,46.9764,New York City,New York,1879.06,High Value
CA-2015-146262,Victoria Wilson,Technology,Machines,1188.0,9,-950.4,Medina,Ohio,10692.0,High Value
CA-2015-163055,David Smith,Furniture,Tables,622.45,5,136.939,Detroit,Michigan,3112.25,High Value
US-2017-100930,Christopher Schild,Furniture,Tables,620.6145,3,-248.2458,Tampa,Florida,1861.84,High Value
US-2017-100930,Christopher Schild,Technology,Accessories,617.976,3,-7.7247,Tampa,Florida,1853.93,High Value
CA-2014-131926,Dianna Wilson,Furniture,Chairs,2001.86,7,580.5394,Lakeville,Minnesota,14013.02,High Value
CA-2014-131926,Dianna Wilson,Office Supplies,Appliances,1503.25,5,496.0725,Lakeville,Minnesota,7516.25,High Value
CA-2016-145625,Kelly Collister,Technology,Accessories,3347.37,13,636.0003,San Diego,California,43515.81,High Value
US-2015-159982,Dan Reichenbach,Technology,Phones,647.904,6,56.6916,Chicago,Illinois,3887.42,High Value
US-2014-106992,Sean Braxton,Technology,Machines,3059.982,3,-509.997,Houston,Texas,9179.95,High Value
US-2014-106992,Sean Braxton,Technology,Machines,2519.958,7,-251.9958,Houston,Texas,17639.71,High Value
CA-2017-163979,Kristen Hastings,Office Supplies,Storage,725.84,4,210.4936,San Francisco,California,2903.36,High Value
US-2015-161991,Steven Cartwright,Technology,Phones,1114.4,7,376.11,Houston,Texas,7800.8,High Value
CA-2015-130890,Jas O'Carroll,Furniture,Tables,1038.84,5,51.942,Los Angeles,California,5194.2,High Value
CA-2016-112697,Alan Haines,Office Supplies,Supplies,961.48,5,-204.3145,Tamarac,Florida,4807.4,High Value
CA-2014-164973,Nathan Mautz,Technology,Machines,3991.98,2,1995.99,New York City,New York,7983.96,High Value
US-2016-141544,Patrick O'Brill,Furniture,Chairs,786.744,4,-258.5016,Philadelphia,Pennsylvania,3146.98,High Value
CA-2015-137946,Doug Bickford,Technology,Copiers,959.984,2,335.9944,Los Angeles,California,1919.97,High Value
CA-2014-129924,Alyssa Crouse,Furniture,Tables,698.352,3,-17.4588,San Francisco,California,2095.06,High Value
CA-2014-122336,Jonathan Doherty,Office Supplies,Binders,509.97,10,-407.976,Philadelphia,Pennsylvania,5099.7,High Value
CA-2016-129714,Adam Bellavance,Office Supplies,Binders,4355.168,4,1415.4296,New York City,New York,17420.67,High Value
CA-2017-155698,Victoria Brennan,Office Supplies,Appliances,647.84,8,168.4384,Columbus,Georgia,5182.72,High Value
CA-2016-155516,Michael Kennedy,Furniture,Bookcases,1043.92,4,271.4192,Manchester,Connecticut,4175.68,High Value
US-2014-119137,Arthur Gainer,Technology,Accessories,1023.936,8,179.1888,Tucson,Arizona,8191.49,High Value
US-2017-134481,Allen Rosenblatt,Furniture,Tables,1488.424,7,-297.6848,Franklin,Massachusetts,10418.97,High Value
US-2014-135972,Jack Garza,Technology,Copiers,1799.97,3,701.9883,Des Moines,Washington,5399.91,High Value
CA-2016-108987,Anna Gayman,Furniture,Bookcases,2396.2656,4,-317.1528,Houston,Texas,9585.06,High Value
CA-2017-117457,Keith Herrera,Technology,Copiers,1199.976,3,434.9913,San Francisco,California,3599.93,High Value
CA-2017-117457,Keith Herrera,Furniture,Tables,1004.024,7,-112.9527,San Francisco,California,7028.17,High Value
CA-2017-117457,Keith Herrera,Furniture,Bookcases,1336.829,13,31.4548,San Francisco,California,17378.78,High Value
CA-2017-155705,Natalie Fritzler,Furniture,Chairs,866.4,4,225.264,Jackson,Mississippi,3465.6,High Value
CA-2016-127369,Dave Brooks,Office Supplies,Storage,714.3,5,207.147,Lowell,Massachusetts,3571.5,High Value
CA-2016-147375,Philisse Overcash,Technology,Machines,1007.979,3,43.1991,Chicago,Illinois,3023.94,High Value
CA-2017-147277,Ed Braxton,Office Supplies,Storage,665.408,2,66.5408,Akron,Ohio,1330.82,High Value
US-2016-157945,Natalie Fritzler,Furniture,Chairs,747.558,3,-96.1146,Decatur,Illinois,2242.67,High Value
CA-2015-109638,Joseph Holt,Technology,Accessories,899.91,9,377.9622,Seattle,Washington,8099.19,High Value
CA-2016-109869,Tanja Norvell,Furniture,Tables,1272.63,6,-814.4832,Phoenix,Arizona,7635.78,High Value
CA-2014-144666,Jeremy Pistek,Technology,Phones,703.968,4,87.996,San Francisco,California,2815.87,High Value
CA-2016-100790,John Grady,Office Supplies,Storage,704.25,5,84.51,New York City,New York,3521.25,High Value
CA-2017-140963,Michelle Tran,Furniture,Bookcases,514.165,5,-30.245,Los Angeles,California,2570.83,High Value
CA-2014-154627,Sue Ann Reed,Technology,Phones,2735.952,6,341.994,Chicago,Illinois,16415.71,High Value
